101 102 {}
101 107 {}
102 103 {}
103 104 {}
103 109 {}
104 105 {}
105 111 {}
107 106 {}
107 108 {}
109 108 {}
109 110 {}
111 110 {}
111 112 {}
106 113 {}
108 115 {}
110 117 {}
112 119 {}
113 114 {}
115 114 {}
115 116 {}
117 116 {}
117 118 {}
119 118 {}
114 120 {}
116 122 {}
118 124 {}
120 121 {}
122 121 {}
122 123 {}
124 123 {}
124 201 {'weight': 2.0}
121 302 {'weight': 2.0}
201 202 {}
201 207 {}
202 203 {}
203 204 {}
203 209 {}
204 205 {}
205 211 {}
207 206 {}
207 208 {}
209 208 {}
209 210 {}
211 210 {}
211 212 {}
206 213 {}
208 215 {}
210 217 {}
212 219 {}
213 214 {}
215 214 {}
215 216 {}
217 216 {}
217 218 {}
219 218 {}
214 220 {}
216 222 {}
218 224 {}
220 221 {}
220 305 {'weight': 2.0}
222 221 {}
222 223 {}
224 223 {}
223 404 {'weight': 2.0}
301 302 {}
301 307 {}
302 303 {}
303 304 {}
303 309 {}
304 305 {}
305 311 {}
307 306 {}
307 308 {}
309 308 {}
309 310 {}
311 310 {}
311 312 {}
306 313 {}
308 315 {}
310 317 {}
312 319 {}
313 314 {}
315 314 {}
315 316 {}
317 316 {}
317 318 {}
319 318 {}
314 320 {}
316 322 {}
318 324 {}
320 321 {}
322 321 {}
322 323 {}
324 323 {}
324 401 {'weight': 2.0}
401 402 {}
401 407 {}
402 403 {}
403 404 {}
403 409 {}
404 405 {}
405 411 {}
407 406 {}
407 408 {}
409 408 {}
409 410 {}
411 410 {}
411 412 {}
406 413 {}
408 415 {}
410 417 {}
412 419 {}
413 414 {}
415 414 {}
415 416 {}
417 416 {}
417 418 {}
419 418 {}
414 420 {}
416 422 {}
418 424 {}
420 421 {}
422 421 {}
422 423 {}
424 423 {}
