Rat number: 7 , Date: 20210716 
419,418,424,423,422,416,417,418,424,418,424,418,417,410,409,408,407,401,324,318,317,316,322,321,320,314,315,308,307,306,307,301,302,121,120,114,113,106,107,101,102,103,104,105,104,105,111,110,109,103,109,108,107,101,102,103,104,105,111,112,119,118,124,201,202,203,209,210,211,205,204,203,209,208,215,216,217,218,224,223,404,405,411,410,417,416,422,423,422,421,420,414,415,408,407,401,324,323,322,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('218', '224') ('00:08:16.920', '00:08:29.960') 13.04 0.3 0.023
('224', '223') ('00:08:29.960', '00:08:31.640') 1.68 0.3 0.179
('223', '404') ('00:08:31.640', '00:08:41.640') 10.0 1.69 0.169
('404', '405') ('00:08:41.640', '00:08:45.760') 4.12 0.3 0.073
('405', '411') ('00:08:45.760', '00:08:47.280') 1.52 0.3 0.197
('411', '410') ('00:08:47.280', '00:08:54.680') 7.4 0.3 0.041
('410', '417') ('00:08:54.680', '00:08:56.760') 2.08 0.3 0.144
('417', '416') ('00:08:56.760', '00:09:10.480') 13.72 0.3 0.022
('416', '422') ('00:09:10.480', '00:09:13.280') 2.8 0.3 0.107
('422', '423') ('00:09:13.280', '00:09:19.320') 6.04 0.3 0.05
('423', '422') ('00:09:19.320', '00:09:30.600') 11.28 0.3 0.027
('422', '421') ('00:09:30.600', '00:09:38.280') 7.68 0.3 0.039
('421', '420') ('00:09:38.280', '00:09:39.360') 1.08 0.3 0.278
('420', '414') ('00:09:39.360', '00:09:41.080') 1.72 0.3 0.174
('414', '415') ('00:09:41.080', '00:09:52.600') 11.52 0.3 0.026
('415', '408') ('00:09:52.600', '00:09:54.800') 2.2 0.3 0.136
('408', '407') ('00:09:54.800', '00:09:56.760') 1.96 0.3 0.153
('407', '401') ('00:09:56.760', '00:09:59.560') 2.8 0.3 0.107
('401', '324') ('00:09:59.560', '00:10:2.200') 2.64 0.6 0.227
('324', '323') ('00:10:2.200', '00:10:6.440') 4.24 0.3 0.071
('323', '322') ('00:10:6.440', '00:10:21.120') 14.68 0.3 0.02
('322', '209') ('00:10:21.120', '00:10:36.200') 15.08 0.3 0.02

306,313,314,315,314,313,314,320,321,322,316,322,323,324,323,322,321,322,316,315,314,313,306,307,301,302,121,122,123,124,201,202,203,209,
Summary Trial 2
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('306', '313') ('00:11:15.600', '00:11:18.400') 2.8 0.3 0.107
('313', '314') ('00:11:18.400', '00:11:20.280') 1.88 0.3 0.16
('314', '315') ('00:11:20.280', '00:11:22.760') 2.48 0.3 0.121
('315', '314') ('00:11:22.760', '00:11:23.280') 0.52 0.3 0.577
('314', '313') ('00:11:23.280', '00:11:27.720') 4.44 0.3 0.068
('313', '314') ('00:11:27.720', '00:11:30.240') 2.52 0.3 0.119
('314', '320') ('00:11:30.240', '00:11:34.480') 4.24 0.3 0.071
('320', '321') ('00:11:34.480', '00:11:36.960') 2.48 0.3 0.121
('321', '322') ('00:11:36.960', '00:11:41.120') 4.16 0.3 0.072
('322', '316') ('00:11:41.120', '00:12:17.880') 36.76 0.3 0.008
('316', '322') ('00:12:17.880', '00:12:22.120') 4.24 0.3 0.071
('322', '323') ('00:12:22.120', '00:12:30.000') 7.88 0.3 0.038
('323', '324') ('00:12:30.000', '00:12:32.040') 2.04 0.3 0.147
('324', '323') ('00:12:32.040', '00:12:33.480') 1.44 0.3 0.208
('323', '322') ('00:12:33.480', '00:12:35.400') 1.92 0.3 0.156
('322', '321') ('00:12:35.400', '00:12:39.440') 4.04 0.3 0.074
('321', '322') ('00:12:39.440', '00:12:45.880') 6.44 0.3 0.047
('322', '316') ('00:12:45.880', '00:12:58.040') 12.16 0.3 0.025
('316', '315') ('00:12:58.040', '00:13:19.600') 21.56 0.3 0.014
('315', '314') ('00:13:19.600', '00:13:21.240') 1.64 0.3 0.183
('314', '313') ('00:13:21.240', '00:13:25.400') 4.16 0.3 0.072
('313', '306') ('00:13:25.400', '00:13:29.000') 3.6 0.3 0.083
('306', '307') ('00:13:29.000', '00:13:30.480') 1.48 0.3 0.203
('307', '301') ('00:13:30.480', '00:13:32.000') 1.52 0.3 0.197
('301', '302') ('00:13:32.000', '00:13:32.720') 0.72 0.3 0.417
('302', '121') ('00:13:32.720', '00:13:35.680') 2.96 1.72 0.581
('121', '122') ('00:13:35.680', '00:13:37.160') 1.48 0.3 0.203
('122', '123') ('00:13:37.160', '00:13:38.320') 1.16 0.3 0.259
('123', '124') ('00:13:38.320', '00:13:39.240') 0.92 0.3 0.326
('124', '201') ('00:13:39.240', '00:13:42.800') 3.56 0.6 0.169
('201', '202') ('00:13:42.800', '00:13:43.880') 1.08 0.3 0.278
('202', '203') ('00:13:43.880', '00:13:44.720') 0.84 0.3 0.357
('203', '209') ('00:13:44.720', '00:13:46.200') 1.48 0.3 0.203

110,111,112,119,118,124,201,202,203,209,
Summary Trial 3
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('110', '111') ('00:14:40.200', '00:14:46.400') 6.2 0.3 0.048
('111', '112') ('00:14:46.400', '00:14:50.080') 3.68 0.3 0.082
('112', '119') ('00:14:50.080', '00:14:50.920') 0.84 0.3 0.357
('119', '118') ('00:14:50.920', '00:14:51.520') 0.6 0.3 0.5
('118', '124') ('00:14:51.520', '00:14:52.400') 0.88 0.3 0.341
('124', '201') ('00:14:52.400', '00:14:53.480') 1.08 0.6 0.556
('201', '202') ('00:14:53.480', '00:14:54.120') 0.64 0.3 0.469
('202', '203') ('00:14:54.120', '00:14:54.880') 0.76 0.3 0.395
('203', '209') ('00:14:54.880', '00:14:56.000') 1.12 0.3 0.268

403,402,403,404,403,402,403,402,401,324,318,317,310,311,305,220,214,215,208,209,
Summary Trial 4
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('403', '402') ('00:16:4.240', '00:16:9.840') 5.6 0.3 0.054
('402', '403') ('00:16:9.840', '00:16:10.160') 0.32 0.3 0.938
('403', '404') ('00:16:10.160', '00:16:12.600') 2.44 0.3 0.123
('404', '403') ('00:16:12.600', '00:16:13.760') 1.16 0.3 0.259
('403', '402') ('00:16:13.760', '00:16:18.160') 4.4 0.3 0.068
('402', '403') ('00:16:18.160', '00:16:18.200') 0.04 0.3 7.5
('403', '402') ('00:16:18.200', '00:16:18.920') 0.72 0.3 0.417
('402', '401') ('00:16:18.920', '00:16:22.960') 4.04 0.3 0.074
('401', '324') ('00:16:22.960', '00:16:28.200') 5.24 0.6 0.115
('324', '318') ('00:16:28.200', '00:16:29.400') 1.2 0.3 0.25
('318', '317') ('00:16:29.400', '00:16:30.120') 0.72 0.3 0.417
('317', '310') ('00:16:30.120', '00:16:31.400') 1.28 0.3 0.234
('310', '311') ('00:16:31.400', '00:16:32.120') 0.72 0.3 0.417
('311', '305') ('00:16:32.120', '00:16:33.200') 1.08 0.3 0.278
('305', '220') ('00:16:33.200', '00:16:34.560') 1.36 0.6 0.441
('220', '214') ('00:16:34.560', '00:16:35.400') 0.84 0.3 0.357
('214', '215') ('00:16:35.400', '00:16:36.280') 0.88 0.3 0.341
('215', '208') ('00:16:36.280', '00:16:37.000') 0.72 0.3 0.417
('208', '209') ('00:16:37.000', '00:16:38.000') 1.0 0.3 0.3

102,101,107,108,109,110,117,118,124,201,202,203,209,
Summary Trial 5
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('102', '101') ('00:17:22.720', '00:17:30.760') 8.04 0.3 0.037
('101', '107') ('00:17:30.760', '00:17:31.920') 1.16 0.3 0.259
('107', '108') ('00:17:31.920', '00:17:34.120') 2.2 0.3 0.136
('108', '109') ('00:17:34.120', '00:17:42.960') 8.84 0.3 0.034
('109', '110') ('00:17:42.960', '00:17:43.960') 1.0 0.3 0.3
('110', '117') ('00:17:43.960', '00:17:45.960') 2.0 0.3 0.15
('117', '118') ('00:17:45.960', '00:17:46.720') 0.76 0.3 0.395
('118', '124') ('00:17:46.720', '00:17:47.600') 0.88 0.3 0.341
('124', '201') ('00:17:47.600', '00:17:48.840') 1.24 0.6 0.484
('201', '202') ('00:17:48.840', '00:17:49.400') 0.56 0.3 0.536
('202', '203') ('00:17:49.400', '00:17:50.200') 0.8 0.3 0.375
('203', '209') ('00:17:50.200', '00:17:51.240') 1.04 0.3 0.288

423,424,418,417,410,411,405,404,223,224,218,217,210,209,
Summary Trial 6
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('423', '424') ('00:18:40.200', '00:18:44.040') 3.84 0.3 0.078
('424', '418') ('00:18:44.040', '00:18:45.560') 1.52 0.3 0.197
('418', '417') ('00:18:45.560', '00:18:46.960') 1.4 0.3 0.214
('417', '410') ('00:18:46.960', '00:18:47.800') 0.84 0.3 0.357
('410', '411') ('00:18:47.800', '00:18:48.960') 1.16 0.3 0.259
('411', '405') ('00:18:48.960', '00:18:49.800') 0.84 0.3 0.357
('405', '404') ('00:18:49.800', '00:18:50.880') 1.08 0.3 0.278
('404', '223') ('00:18:50.880', '00:18:55.600') 4.72 1.69 0.358
('223', '224') ('00:18:55.600', '00:18:56.840') 1.24 0.3 0.242
('224', '218') ('00:18:56.840', '00:18:58.400') 1.56 0.3 0.192
('218', '217') ('00:18:58.400', '00:18:59.920') 1.52 0.3 0.197
('217', '210') ('00:18:59.920', '00:19:0.800') 0.88 0.3 0.341
('210', '209') ('00:19:0.800', '00:19:1.920') 1.12 0.3 0.268

323,322,316,317,310,311,305,220,214,215,208,209,
Summary Trial 7
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('323', '322') ('00:19:51.080', '00:19:57.600') 6.52 0.3 0.046
('322', '316') ('00:19:57.600', '00:20:21.800') 24.2 0.3 0.012
('316', '317') ('00:20:21.800', '00:20:33.560') 11.76 0.3 0.026
('317', '310') ('00:20:33.560', '00:20:34.400') 0.84 0.3 0.357
('310', '311') ('00:20:34.400', '00:20:35.080') 0.68 0.3 0.441
('311', '305') ('00:20:35.080', '00:20:36.200') 1.12 0.3 0.268
('305', '220') ('00:20:36.200', '00:20:37.600') 1.4 0.6 0.429
('220', '214') ('00:20:37.600', '00:20:38.560') 0.96 0.3 0.312
('214', '215') ('00:20:38.560', '00:20:39.360') 0.8 0.3 0.375
('215', '208') ('00:20:39.360', '00:20:39.960') 0.6 0.3 0.5
('208', '209') ('00:20:39.960', '00:20:41.200') 1.24 0.3 0.242

414,420,414,415,408,407,401,324,318,317,310,311,305,220,214,215,208,209,
Summary Trial 8
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('414', '420') ('00:21:33.000', '00:21:39.920') 6.92 0.3 0.043
('420', '414') ('00:21:39.920', '00:21:47.600') 7.68 0.3 0.039
('414', '415') ('00:21:47.600', '00:21:50.360') 2.76 0.3 0.109
('415', '408') ('00:21:50.360', '00:21:51.200') 0.84 0.3 0.357
('408', '407') ('00:21:51.200', '00:21:51.800') 0.6 0.3 0.5
('407', '401') ('00:21:51.800', '00:21:52.920') 1.12 0.3 0.268
('401', '324') ('00:21:52.920', '00:21:56.480') 3.56 0.6 0.169
('324', '318') ('00:21:56.480', '00:21:58.040') 1.56 0.3 0.192
('318', '317') ('00:21:58.040', '00:22:0.240') 2.2 0.3 0.136
('317', '310') ('00:22:0.240', '00:22:1.160') 0.92 0.3 0.326
('310', '311') ('00:22:1.160', '00:22:1.880') 0.72 0.3 0.417
('311', '305') ('00:22:1.880', '00:22:4.080') 2.2 0.3 0.136
('305', '220') ('00:22:4.080', '00:22:10.320') 6.24 0.6 0.096
('220', '214') ('00:22:10.320', '00:22:11.000') 0.68 0.3 0.441
('214', '215') ('00:22:11.000', '00:22:11.760') 0.76 0.3 0.395
('215', '208') ('00:22:11.760', '00:22:12.360') 0.6 0.3 0.5
('208', '209') ('00:22:12.360', '00:22:13.400') 1.04 0.3 0.288

121,122,123,124,201,202,203,209,
Summary Trial 9
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('121', '122') ('00:23:15.120', '00:23:22.880') 7.76 0.3 0.039
('122', '123') ('00:23:22.880', '00:23:23.760') 0.88 0.3 0.341
('123', '124') ('00:23:23.760', '00:23:24.400') 0.64 0.3 0.469
('124', '201') ('00:23:24.400', '00:23:25.760') 1.36 0.6 0.441
('201', '202') ('00:23:25.760', '00:23:26.400') 0.64 0.3 0.469
('202', '203') ('00:23:26.400', '00:23:27.120') 0.72 0.3 0.417
('203', '209') ('00:23:27.120', '00:23:28.720') 1.6 0.3 0.187

303,302,121,122,123,124,201,202,203,209,
