Rat number: 7 , Date: 20210718 
319,318,317,310,311,305,220,214,215,208,209,208,207,201,202,203,209,210,217,218,219,218,219,212,211,210,209,203,202,201,124,118,117,110,109,103,102,101,107,106,107,108,115,116,122,121,302,303,309,308,307,308,315,316,322,321,322,323,324,401,407,408,415,416,422,423,422,416,417,410,411,405,404,223,224,218,217,210,209,203,204,205,211,210,209,208,207,201,202,203,202,201,207,208,209,203,209,210,217,218,224,218,217,210,217,210,209,208,207,201,202,203,204,203,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('217', '210') ('00:05:2.360', '00:05:4.080') 1.72 0.3 0.174
('210', '209') ('00:05:4.080', '00:05:6.680') 2.6 0.3 0.115
('209', '203') ('00:05:6.680', '00:05:20.280') 13.6 0.3 0.022
('203', '204') ('00:05:20.280', '00:05:24.200') 3.92 0.3 0.077
('204', '205') ('00:05:24.200', '00:05:27.440') 3.24 0.3 0.093
('205', '211') ('00:05:27.440', '00:05:29.800') 2.36 0.3 0.127
('211', '210') ('00:05:29.800', '00:05:31.040') 1.24 0.3 0.242
('210', '209') ('00:05:31.040', '00:05:32.400') 1.36 0.3 0.221
('209', '208') ('00:05:32.400', '00:05:39.600') 7.2 0.3 0.042
('208', '207') ('00:05:39.600', '00:05:41.880') 2.28 0.3 0.132
('207', '201') ('00:05:41.880', '00:05:49.400') 7.52 0.3 0.04
('201', '202') ('00:05:49.400', '00:05:52.960') 3.56 0.3 0.084
('202', '203') ('00:05:52.960', '00:05:54.920') 1.96 0.3 0.153
('203', '202') ('00:05:54.920', '00:06:6.360') 11.44 0.3 0.026
('202', '201') ('00:06:6.360', '00:06:9.000') 2.64 0.3 0.114
('201', '207') ('00:06:9.000', '00:06:18.240') 9.24 0.3 0.032
('207', '208') ('00:06:18.240', '00:06:22.000') 3.76 0.3 0.08
('208', '209') ('00:06:22.000', '00:06:23.160') 1.16 0.3 0.259
('209', '203') ('00:06:23.160', '00:08:26.800') 123.64 0.3 0.002
('203', '209') ('00:08:26.800', '00:09:14.800') 48.0 0.3 0.006
('209', '210') ('00:09:14.800', '00:09:21.280') 6.48 0.3 0.046
('210', '217') ('00:09:21.280', '00:09:22.280') 1.0 0.3 0.3
('217', '218') ('00:09:22.280', '00:09:28.600') 6.32 0.3 0.047
('218', '224') ('00:09:28.600', '00:09:31.200') 2.6 0.3 0.115
('224', '218') ('00:09:31.200', '00:09:37.160') 5.96 0.3 0.05
('218', '217') ('00:09:37.160', '00:09:40.040') 2.88 0.3 0.104
('217', '210') ('00:09:40.040', '00:09:45.400') 5.36 0.3 0.056
('210', '217') ('00:09:45.400', '00:09:46.040') 0.64 0.3 0.469
('217', '210') ('00:09:46.040', '00:09:46.600') 0.56 0.3 0.536
('210', '209') ('00:09:46.600', '00:09:52.000') 5.4 0.3 0.056
('209', '208') ('00:09:52.000', '00:09:56.960') 4.96 0.3 0.06
('208', '207') ('00:09:56.960', '00:09:57.400') 0.44 0.3 0.682
('207', '201') ('00:09:57.400', '00:09:59.400') 2.0 0.3 0.15
('201', '202') ('00:09:59.400', '00:10:6.240') 6.84 0.3 0.044
('202', '203') ('00:10:6.240', '00:10:9.040') 2.8 0.3 0.107
('203', '204') ('00:10:9.040', '00:10:28.840') 19.8 0.3 0.015
('204', '203') ('00:10:28.840', '00:10:33.080') 4.24 0.3 0.071
('203', '209') ('00:10:33.080', '00:10:37.160') 4.08 0.3 0.074

409,408,407,401,324,401,407,408,409,410,411,410,409,408,407,408,407,401,324,323,322,316,322,321,320,314,313,306,307,301,302,121,122,123,124,201,202,203,209,
Summary Trial 2
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('409', '408') ('00:11:2.000', '00:11:11.400') 9.4 0.3 0.032
('408', '407') ('00:11:11.400', '00:11:16.480') 5.08 0.3 0.059
('407', '401') ('00:11:16.480', '00:11:28.480') 12.0 0.3 0.025
('401', '324') ('00:11:28.480', '00:11:31.040') 2.56 0.6 0.234
('324', '401') ('00:11:31.040', '00:11:37.360') 6.32 0.6 0.095
('401', '407') ('00:11:37.360', '00:11:39.520') 2.16 0.3 0.139
('407', '408') ('00:11:39.520', '00:11:41.000') 1.48 0.3 0.203
('408', '409') ('00:11:41.000', '00:11:42.680') 1.68 0.3 0.179
('409', '410') ('00:11:42.680', '00:11:45.600') 2.92 0.3 0.103
('410', '411') ('00:11:45.600', '00:11:46.840') 1.24 0.3 0.242
('411', '410') ('00:11:46.840', '00:11:50.240') 3.4 0.3 0.088
('410', '409') ('00:11:50.240', '00:11:53.120') 2.88 0.3 0.104
('409', '408') ('00:11:53.120', '00:11:54.080') 0.96 0.3 0.312
